InvoiceID,InvoiceNumber,CustomerName,Dates,EmployeeName,Title,GenreName,RegionName,Quantity,Price,Total
2075,137160,Cinefocus DVD,2/2/2012,"Manning,Marilyn",Lawrence of Arabia,Biography,Middle,11,6.24,68.59
1596,136993,Cinefocus DVD,2/3/2012,"Putin,Julia",Lawrence of Arabia,Biography,North,21,6.88,144.58
1357,136914,Cinefocus DVD,2/4/2012,"Carrey,Julia",Lawrence of Arabia,Biography,North,21,8.31,174.59
316,136550,AV Supplies,2/5/2012,"Spears,Julie",Lawrence of Arabia,Biography,South,7,5.85,40.92
338,136556,AV Supplies,2/6/2012,"Ashe,Lucille",Lawrence of Arabia,Biography,Middle,5,6.5,32.48
753,136694,Magic Lantern Classic Film Rental,2/7/2012,"Bradshaw,John",Lawrence of Arabia,Biography,South,17,7.14,121.46
1823,137073,Magic Lantern Classic Film Rental,2/8/2012,"Anderson,Jane",Lawrence of Arabia,Biography,South,22,7.4,162.89
1514,136968,Magic Lantern Classic Film Rental,2/9/2012,"Newhart,Anna",Lawrence of Arabia,Biography,Middle,4,7.28,29.1
1751,137046,Magic Lantern Classic Film Rental,2/10/2012,"Silverstone,Gloria",Lawrence of Arabia,Biography,Middle,22,6.36,140.03
631,136650,Magic Lantern Classic Film Rental,2/11/2012,"Hicks,Michael",Lawrence of Arabia,Biography,North,11,6.24,68.59
674,136669,Cheapo Cheap DVD's Ltd,2/12/2012,"Bell,Stephen",Lawrence of Arabia,Biography,South,21,6.11,128.21
498,136609,Cheapo Cheap DVD's Ltd,2/13/2012,"Simpson,Meryl",Lawrence of Arabia,Biography,South,16,7.92,126.78
714,136682,Cheapo Cheap DVD's Ltd,2/14/2012,"Sagan,Jessica",Lawrence of Arabia,Biography,Middle,12,7.53,90.41
803,136711,Addison-Freelander Screen Agency,2/15/2012,"Streep,Margaret",Lawrence of Arabia,Biography,South,8,7.14,57.16
1588,136991,Addison-Freelander Screen Agency,2/16/2012,"Streep,Margaret",Lawrence of Arabia,Biography,South,3,7.66,22.99
1476,136958,Addison-Freelander Screen Agency,2/17/2012,"Manning,Marilyn",Lawrence of Arabia,Biography,Middle,22,8.18,180.04
940,136768,Silver Screen Video,2/18/2012,"Lee,Frank",Bonnie and Clyde,Biography,South,5,8.11,40.57
865,136738,Silver Screen Video,2/19/2012,"Streep,Margaret",Bonnie and Clyde,Biography,South,9,6.72,60.44
1755,137047,Silver Screen Video,2/20/2012,"Streep,Margaret",Bonnie and Clyde,Biography,South,5,8.53,42.67
793,136708,Silver Screen Video,2/21/2012,"Ashe,Lucille",Bonnie and Clyde,Biography,Middle,4,6.72,26.86
1501,136965,Classic Films,2/22/2012,"Lee,Frank",Bonnie and Clyde,Biography,South,12,6.44,77.22
1815,137070,Classic Films,2/23/2012,"Anderson,Jane",Bonnie and Clyde,Biography,South,9,8.11,73.03
1972,137120,Classic Films,2/24/2012,"Diamond,Elizabeth",Bonnie and Clyde,Biography,Middle,22,6.99,153.89
14,136441,Box Office Supplies,2/25/2012,"Bell,Stephen",Bonnie and Clyde,Biography,South,8,7.97,63.79
1565,136984,Box Office Supplies,2/26/2012,"Jennings,John",Bonnie and Clyde,Biography,North,3,6.99,20.98
1439,136942,Soft Focus Video Rental,2/27/2012,"Lee,Frank",Bonnie and Clyde,Biography,South,23,8.81,202.72
1307,136897,Soft Focus Video Rental,2/28/2012,"Spears,Julie",Bonnie and Clyde,Biography,South,8,7.28,58.2
990,136783,Soft Focus Video Rental,2/29/2012,"Sagan,Jessica",Bonnie and Clyde,Biography,Middle,13,6.72,87.3
2078,137162,Lights-Camera-Action Ltd,3/1/2012,"Richards,Andy",Bonnie and Clyde,Biography,South,18,8.11,146.06
305,136544,Creative Films,3/2/2012,"Davis,Charles",Bonnie and Clyde,Biography,Middle,8,7.14,57.08
1407,136933,Creative Films,3/3/2012,"Armstrong,Dan",Bonnie and Clyde,Biography,North,15,6.44,96.53
127,136483,Video Flicks International,3/4/2012,"Anderson,Jane",Bonnie and Clyde,Biography,South,24,7.83,188.03
849,136729,Video Flicks International,3/5/2012,"Silverstone,Gloria",Bonnie and Clyde,Biography,Middle,17,8.25,140.32
1956,137115,Video Flicks International,3/6/2012,"Simpson,Howard",Bonnie and Clyde,Biography,North,11,7.13,78.48
2131,137177,Video Flicks International,3/7/2012,"Hawking,Alfred",Bonnie and Clyde,Biography,North,10,8.53,85.34
222,136515,Cinefocus DVD,3/8/2012,"Simpson,Meryl",Bonnie and Clyde,Biography,South,18,8.81,158.65
560,136626,Cinefocus DVD,3/9/2012,"Streep,Margaret",Bonnie and Clyde,Biography,South,10,6.3,62.95
1292,136891,Cinefocus DVD,3/10/2012,"Silverstone,Gloria",Bonnie and Clyde,Biography,Middle,1,8.53,8.53
1097,136824,Cinefocus DVD,3/11/2012,"Hawking,Alfred",Bonnie and Clyde,Biography,North,23,7.41,170.54
1772,137055,AV Supplies,3/12/2012,"Putin,Julia",Bonnie and Clyde,Biography,North,10,8.53,85.34
23,136443,AV Supplies,3/13/2012,"Simpson,Howard",Bonnie and Clyde,Biography,North,17,8.11,137.94
780,136702,AV Supplies,3/14/2012,"Hicks,Michael",Bonnie and Clyde,Biography,North,19,6.58,124.93
1091,136822,Magic Lantern Classic Film Rental,3/15/2012,"Streep,Margaret",Bonnie and Clyde,Biography,South,17,8.39,142.7
928,136761,Addison-Freelander Screen Agency,3/16/2012,"Bradshaw,John",Bonnie and Clyde,Biography,South,7,8.53,59.74
535,136620,Addison-Freelander Screen Agency,3/17/2012,"Goodman,Paul",Bonnie and Clyde,Biography,North,21,6.3,132.21
1541,136976,Silver Screen Video,3/18/2012,"Bell,Stephen",Schindler's List,Biography,South,3,8.69,26.08
1546,136978,Silver Screen Video,3/19/2012,"Richards,Andy",Schindler's List,Biography,South,25,8.39,209.86
1429,136940,Silver Screen Video,3/20/2012,"Ashe,Lucille",Schindler's List,Biography,Middle,15,7.49,112.42
706,136679,Classic Films,3/21/2012,"Sagan,Jessica",Schindler's List,Biography,Middle,1,9.74,9.74
465,136596,Classic Films,3/22/2012,"Simpson,Howard",Schindler's List,Biography,North,3,7.64,22.93
312,136548,Classic Films,3/23/2012,"Jennings,John",Schindler's List,Biography,North,21,6.9,144.8
1680,137022,Classic Films,3/24/2012,"Carrey,Julia",Schindler's List,Biography,North,8,8.4,67.16
1298,136893,Classic Films,3/25/2012,"Armstrong,Dan",Schindler's List,Biography,North,1,9.14,9.14
975,136779,Classic Films,3/26/2012,"Hicks,Michael",Schindler's List,Biography,North,6,8.7,52.17
1389,136925,Box Office Supplies,3/27/2012,"Bradshaw,John",Schindler's List,Biography,South,12,8.24,98.93
1933,137106,Box Office Supplies,3/28/2012,"Bradshaw,John",Schindler's List,Biography,South,24,9.44,226.65
1342,136909,Box Office Supplies,3/29/2012,"Spears,Julie",Schindler's List,Biography,South,10,7.64,76.45
607,136642,Box Office Supplies,3/30/2012,"Simpson,Meryl",Schindler's List,Biography,South,11,7.35,80.8
1005,136790,Box Office Supplies,3/31/2012,"Simpson,Meryl",Schindler's List,Biography,South,3,8.69,26.08
962,136775,Box Office Supplies,4/1/2012,"Streep,Margaret",Schindler's List,Biography,South,6,7.94,47.67
1622,137001,Box Office Supplies,4/2/2012,"Diamond,Elizabeth",Schindler's List,Biography,Middle,4,7.2,28.78
1690,137026,Soft Focus Video Rental,4/3/2012,"Spears,Julie",Schindler's List,Biography,South,4,8.1,32.38
26,136445,Soft Focus Video Rental,4/4/2012,"Ashe,Lucille",Schindler's List,Biography,Middle,18,7.8,140.31
1160,136844,Lights-Camera-Action Ltd,4/5/2012,"Bell,Stephen",Schindler's List,Biography,South,3,6.9,20.69
2118,137173,Lights-Camera-Action Ltd,4/6/2012,"Diamond,Elizabeth",Schindler's List,Biography,Middle,6,7.2,43.17
46,136453,Lights-Camera-Action Ltd,4/7/2012,"Sagan,Jessica",Schindler's List,Biography,Middle,5,9.44,47.22
1454,136947,Creative Films,4/8/2012,"Lee,Frank",Schindler's List,Biography,South,15,8.24,123.67
1145,136838,Creative Films,4/9/2012,"Diamond,Elizabeth",Schindler's List,Biography,Middle,23,7.94,182.73
255,136525,Creative Films,4/10/2012,"Davis,Charles",Schindler's List,Biography,Middle,11,9.29,102.23
340,136557,Video Flicks International,4/11/2012,"Bell,Stephen",Schindler's List,Biography,South,14,8.99,125.92
1891,137094,Cinefocus DVD,4/12/2012,"Bradshaw,John",Schindler's List,Biography,South,12,7.94,95.34
742,136691,Cinefocus DVD,4/13/2012,"Richards,Andy",Schindler's List,Biography,South,4,7.94,31.78
1263,136881,Cinefocus DVD,4/14/2012,"West,Chuck",Schindler's List,Biography,Middle,25,8.09,202.36
1230,136869,Cinefocus DVD,4/15/2012,"Hawking,Alfred",Schindler's List,Biography,North,13,8.39,109.13
1093,136823,Magic Lantern Classic Film Rental,4/16/2012,"Manning,Marilyn",Schindler's List,Biography,Middle,12,8.1,97.14
2150,137185,Magic Lantern Classic Film Rental,4/17/2012,"Silverstone,Gloria",Schindler's List,Biography,Middle,7,7.94,55.61
125,136482,Cheapo Cheap DVD's Ltd,4/18/2012,"Streep,Margaret",Schindler's List,Biography,South,9,8.69,78.25
1299,136894,Cheapo Cheap DVD's Ltd,4/19/2012,"Anderson,Jane",Schindler's List,Biography,South,11,8.84,97.29
523,136617,Cheapo Cheap DVD's Ltd,4/20/2012,"Diamond,Elizabeth",Schindler's List,Biography,Middle,22,7.8,171.49
599,136640,Cheapo Cheap DVD's Ltd,4/21/2012,"Diamond,Elizabeth",Schindler's List,Biography,Middle,20,7.2,143.9
1914,137099,Cheapo Cheap DVD's Ltd,4/22/2012,"Silverstone,Gloria",Schindler's List,Biography,Middle,14,8.09,113.32
726,136686,Addison-Freelander Screen Agency,4/23/2012,"Spears,Julie",Schindler's List,Biography,South,11,8.54,93.99
1316,136900,Addison-Freelander Screen Agency,4/24/2012,"West,Chuck",Schindler's List,Biography,Middle,19,6.9,131.01
787,136705,Silver Screen Video,4/25/2012,"Streep,Margaret",Raging Bull,Biography,South,13,7.52,97.7
885,136745,Silver Screen Video,4/26/2012,"Streep,Margaret",Raging Bull,Biography,South,2,7.52,15.03
1757,137048,Silver Screen Video,4/27/2012,"Anderson,Jane",Raging Bull,Biography,South,12,8.32,99.78
2050,137151,Silver Screen Video,4/28/2012,"Anderson,Jane",Raging Bull,Biography,South,23,7.99,183.88
115,136479,Silver Screen Video,4/29/2012,"Jennings,John",Raging Bull,Biography,North,18,7.36,132.4
58,136457,Classic Films,4/30/2012,"Lee,Frank",Raging Bull,Biography,South,25,7.68,191.88
1973,137120,Classic Films,5/1/2012,"Diamond,Elizabeth",Raging Bull,Biography,Middle,21,8.15,171.25
903,136752,Classic Films,5/2/2012,"Manning,Marilyn",Raging Bull,Biography,Middle,8,8.15,65.24
976,136779,Classic Films,5/3/2012,"Hicks,Michael",Raging Bull,Biography,North,10,8.32,83.15
1130,136831,Box Office Supplies,5/4/2012,"Bradshaw,John",Raging Bull,Biography,South,20,9.75,195.08
1993,137128,Box Office Supplies,5/5/2012,"Richards,Andy",Raging Bull,Biography,South,23,8.63,198.6
303,136542,Box Office Supplies,5/6/2012,"Diamond,Elizabeth",Raging Bull,Biography,Middle,15,8.47,127.12
384,136571,Box Office Supplies,5/7/2012,"Hicks,Michael",Raging Bull,Biography,North,8,9.27,74.19
934,136764,Soft Focus Video Rental,5/8/2012,"West,Chuck",Raging Bull,Biography,Middle,14,10.23,143.27
1556,136982,Soft Focus Video Rental,5/9/2012,"Putin,Julia",Raging Bull,Biography,North,5,7.68,38.38
509,136612,Soft Focus Video Rental,5/10/2012,"Armstrong,Dan",Raging Bull,Biography,North,6,10.39,62.36
245,136521,Lights-Camera-Action Ltd,5/11/2012,"Spears,Julie",Raging Bull,Biography,South,11,7.99,87.94
259,136527,Creative Films,5/12/2012,"Lee,Frank",Raging Bull,Biography,South,7,9.59,67.16
491,136607,Creative Films,5/13/2012,"Spears,Julie",Raging Bull,Biography,South,3,8.79,26.38
892,136747,Creative Films,5/14/2012,"Newhart,Anna",Raging Bull,Biography,Middle,20,9.11,182.29
628,136649,Creative Films,5/15/2012,"Silverstone,Gloria",Raging Bull,Biography,Middle,17,7.52,127.76
422,136582,Creative Films,5/16/2012,"Simpson,Howard",Raging Bull,Biography,North,10,7.36,73.55
2002,137131,Creative Films,5/17/2012,"Armstrong,Dan",Raging Bull,Biography,North,21,9.43,198.12
1011,136791,Video Flicks International,5/18/2012,"Bradshaw,John",Raging Bull,Biography,South,7,9.43,66.04
1654,137015,Video Flicks International,5/19/2012,"Streep,Margaret",Raging Bull,Biography,South,13,8,103.94
1978,137122,Cinefocus DVD,5/20/2012,"Goodman,Paul",Raging Bull,Biography,North,14,10.39,145.51
530,136618,AV Supplies,5/21/2012,"Manning,Marilyn",Raging Bull,Biography,Middle,23,10.39,239.05
2065,137155,AV Supplies,5/22/2012,"Jennings,John",Raging Bull,Biography,North,9,9.91,89.22
1450,136945,AV Supplies,5/23/2012,"Hawking,Alfred",Raging Bull,Biography,North,4,9.28,37.1
1868,137088,Magic Lantern Classic Film Rental,5/24/2012,"Spears,Julie",Raging Bull,Biography,South,24,9.11,218.74
392,136575,Magic Lantern Classic Film Rental,5/25/2012,"West,Chuck",Raging Bull,Biography,Middle,11,8.47,93.22
1830,137075,Magic Lantern Classic Film Rental,5/26/2012,"Davis,Charles",Raging Bull,Biography,Middle,8,10.39,83.15
2147,137182,Cheapo Cheap DVD's Ltd,5/27/2012,"Spears,Julie",Raging Bull,Biography,South,15,9.27,139.11
1238,136873,Cheapo Cheap DVD's Ltd,5/28/2012,"Streep,Margaret",Raging Bull,Biography,South,19,7.68,145.83
1379,136922,Cheapo Cheap DVD's Ltd,5/29/2012,"Carrey,Julia",Raging Bull,Biography,North,20,9.75,195.08
921,136759,Addison-Freelander Screen Agency,5/30/2012,"Bradshaw,John",Raging Bull,Biography,South,5,7.36,36.78
1494,136963,Addison-Freelander Screen Agency,5/31/2012,"Goodman,Paul",Raging Bull,Biography,North,6,9.75,58.52
1089,136821,Addison-Freelander Screen Agency,6/1/2012,"Armstrong,Dan",Raging Bull,Biography,North,7,9.91,69.4
554,136625,Addison-Freelander Screen Agency,6/2/2012,"Hicks,Michael",Raging Bull,Biography,North,12,10.39,124.72
731,136688,Silver Screen Video,6/3/2012,"Newhart,Anna",Goodfellas,Biography,Middle,16,7.79,124.7
1630,137006,Silver Screen Video,6/4/2012,"Carrey,Julia",Goodfellas,Biography,North,6,7.07,42.44
2073,137159,Classic Films,6/5/2012,"Manning,Marilyn",Goodfellas,Biography,Middle,25,7.55,188.84
315,136548,Classic Films,6/6/2012,"Jennings,John",Goodfellas,Biography,North,5,6.11,30.57
1022,136795,Box Office Supplies,6/7/2012,"Spears,Julie",Goodfellas,Biography,South,2,5.52,11.03
252,136523,Box Office Supplies,6/8/2012,"Jennings,John",Goodfellas,Biography,North,5,6.11,30.57
193,136506,Box Office Supplies,6/9/2012,"Carrey,Julia",Goodfellas,Biography,North,11,5.88,64.63
138,136487,Soft Focus Video Rental,6/10/2012,"Lee,Frank",Goodfellas,Biography,South,19,6.71,127.57
1054,136807,Soft Focus Video Rental,6/11/2012,"Bell,Stephen",Goodfellas,Biography,South,11,7.43,81.77
1423,136937,Soft Focus Video Rental,6/12/2012,"Spears,Julie",Goodfellas,Biography,South,20,7.43,148.68
1691,137026,Soft Focus Video Rental,6/13/2012,"Spears,Julie",Goodfellas,Biography,South,22,5.52,121.34
808,136712,Soft Focus Video Rental,6/14/2012,"Streep,Margaret",Goodfellas,Biography,South,22,6.71,147.72
1336,136907,Soft Focus Video Rental,6/15/2012,"Anderson,Jane",Goodfellas,Biography,South,9,5.88,52.88
287,136536,Soft Focus Video Rental,6/16/2012,"West,Chuck",Goodfellas,Biography,Middle,3,6.23,18.7
533,136619,Soft Focus Video Rental,6/17/2012,"West,Chuck",Goodfellas,Biography,Middle,12,6.71,80.57
2112,137170,Lights-Camera-Action Ltd,6/18/2012,"Manning,Marilyn",Goodfellas,Biography,Middle,23,6.59,151.67
1276,136885,Creative Films,6/19/2012,"Lee,Frank",Goodfellas,Biography,South,6,7.43,44.6
1418,136935,Creative Films,6/20/2012,"Spears,Julie",Goodfellas,Biography,South,18,6.47,116.54
836,136721,Creative Films,6/21/2012,"Richards,Andy",Goodfellas,Biography,South,12,5.88,70.5
437,136586,Creative Films,6/22/2012,"Sagan,Jessica",Goodfellas,Biography,Middle,6,6.36,38.13
256,136525,Creative Films,6/23/2012,"Davis,Charles",Goodfellas,Biography,Middle,2,6.24,12.47
561,136626,Cinefocus DVD,6/24/2012,"Streep,Margaret",Goodfellas,Biography,South,22,7.43,163.54
874,136740,Cinefocus DVD,6/25/2012,"Manning,Marilyn",Goodfellas,Biography,Middle,20,7.79,155.87
821,136714,Cinefocus DVD,6/26/2012,"Jennings,John",Goodfellas,Biography,North,18,5.76,103.59
648,136659,AV Supplies,6/27/2012,"Richards,Andy",Goodfellas,Biography,South,22,7.43,163.54
1042,136801,AV Supplies,6/28/2012,"Anderson,Jane",Goodfellas,Biography,South,13,7.55,98.2
1805,137064,Addison-Freelander Screen Agency,6/29/2012,"Lee,Frank",Goodfellas,Biography,South,16,7.43,118.94
908,136754,Addison-Freelander Screen Agency,6/30/2012,"Silverstone,Gloria",Goodfellas,Biography,Middle,14,5.64,78.89
1180,136852,Addison-Freelander Screen Agency,7/1/2012,"Putin,Julia",Goodfellas,Biography,North,5,6.11,30.57
536,136620,Addison-Freelander Screen Agency,7/2/2012,"Goodman,Paul",Goodfellas,Biography,North,21,6,125.9
558,136625,Addison-Freelander Screen Agency,7/3/2012,"Hicks,Michael",Goodfellas,Biography,North,5,6.95,34.77
2,136438,Silver Screen Video,7/4/2012,"Lee,Frank",The Discreet Charm of the Bourgeoisie,Comedy,South,9,7.5,67.46
642,136656,Silver Screen Video,7/5/2012,"Richards,Andy",The Discreet Charm of the Bourgeoisie,Comedy,South,5,8.69,43.47
1548,136979,Silver Screen Video,7/6/2012,"Streep,Margaret",The Discreet Charm of the Bourgeoisie,Comedy,South,3,7.79,23.38
1814,137069,Silver Screen Video,7/7/2012,"Streep,Margaret",The Discreet Charm of the Bourgeoisie,Comedy,South,6,6.9,41.37
672,136668,Silver Screen Video,7/8/2012,"Sagan,Jessica",The Discreet Charm of the Bourgeoisie,Comedy,Middle,2,8.99,17.99
1059,136809,Silver Screen Video,7/9/2012,"Davis,Charles",The Discreet Charm of the Bourgeoisie,Comedy,Middle,3,8.54,25.63
1816,137070,Classic Films,7/10/2012,"Anderson,Jane",The Discreet Charm of the Bourgeoisie,Comedy,South,19,9.74,185.13
1625,137003,Classic Films,7/11/2012,"Jennings,John",The Discreet Charm of the Bourgeoisie,Comedy,North,23,7.35,168.94
1321,136901,Box Office Supplies,7/12/2012,"Bell,Stephen",The Discreet Charm of the Bourgeoisie,Comedy,South,7,8.84,61.91
1139,136834,Box Office Supplies,7/13/2012,"West,Chuck",The Discreet Charm of the Bourgeoisie,Comedy,Middle,24,9.59,230.25
211,136511,Box Office Supplies,7/14/2012,"Putin,Julia",The Discreet Charm of the Bourgeoisie,Comedy,North,14,8.09,113.32
215,136513,Box Office Supplies,7/15/2012,"Simpson,Howard",The Discreet Charm of the Bourgeoisie,Comedy,North,5,9.74,48.72
1445,136944,Box Office Supplies,7/16/2012,"Jennings,John",The Discreet Charm of the Bourgeoisie,Comedy,North,10,9.59,95.94
139,136487,Soft Focus Video Rental,7/17/2012,"Lee,Frank",The Discreet Charm of the Bourgeoisie,Comedy,South,18,7.5,134.91
716,136683,Lights-Camera-Action Ltd,7/18/2012,"Spears,Julie",The Discreet Charm of the Bourgeoisie,Comedy,South,19,8.54,162.34
2028,137141,Lights-Camera-Action Ltd,7/19/2012,"Ashe,Lucille",The Discreet Charm of the Bourgeoisie,Comedy,Middle,17,6.9,117.22
763,136696,Lights-Camera-Action Ltd,7/20/2012,"Manning,Marilyn",The Discreet Charm of the Bourgeoisie,Comedy,Middle,7,8.54,59.81
69,136461,Lights-Camera-Action Ltd,7/21/2012,"Jennings,John",The Discreet Charm of the Bourgeoisie,Comedy,North,10,9.44,94.44
834,136720,Creative Films,7/22/2012,"Streep,Margaret",The Discreet Charm of the Bourgeoisie,Comedy,South,2,9.44,18.89
1601,136995,Creative Films,7/23/2012,"West,Chuck",The Discreet Charm of the Bourgeoisie,Comedy,Middle,25,8.54,213.61
389,136573,Creative Films,7/24/2012,"Manning,Marilyn",The Discreet Charm of the Bourgeoisie,Comedy,Middle,23,7.64,175.83
1143,136836,Creative Films,7/25/2012,"Davis,Charles",The Discreet Charm of the Bourgeoisie,Comedy,Middle,18,7.94,143
417,136580,Video Flicks International,7/26/2012,"Putin,Julia",The Discreet Charm of the Bourgeoisie,Comedy,North,25,8.69,217.36
881,136743,Cinefocus DVD,7/27/2012,"Sagan,Jessica",The Discreet Charm of the Bourgeoisie,Comedy,Middle,3,8.24,24.73
179,136503,AV Supplies,7/28/2012,"Anderson,Jane",The Discreet Charm of the Bourgeoisie,Comedy,South,16,9.74,155.9
19,136442,AV Supplies,7/29/2012,"Newhart,Anna",The Discreet Charm of the Bourgeoisie,Comedy,Middle,6,9.29,55.76
1371,136920,AV Supplies,7/30/2012,"Sagan,Jessica",The Discreet Charm of the Bourgeoisie,Comedy,Middle,24,7.64,183.48
1917,137100,AV Supplies,7/31/2012,"Sagan,Jessica",The Discreet Charm of the Bourgeoisie,Comedy,Middle,5,8.69,43.47
2020,137138,Magic Lantern Classic Film Rental,8/1/2012,"Streep,Margaret",The Discreet Charm of the Bourgeoisie,Comedy,South,8,8.54,68.35
947,136771,Magic Lantern Classic Film Rental,8/2/2012,"Ashe,Lucille",The Discreet Charm of the Bourgeoisie,Comedy,Middle,15,9.14,137.16
403,136577,Magic Lantern Classic Film Rental,8/3/2012,"Simpson,Howard",The Discreet Charm of the Bourgeoisie,Comedy,North,21,7.2,151.1
2013,137135,Magic Lantern Classic Film Rental,8/4/2012,"Carrey,Julia",The Discreet Charm of the Bourgeoisie,Comedy,North,24,7.2,172.68
1225,136868,Cheapo Cheap DVD's Ltd,8/5/2012,"Lee,Frank",The Discreet Charm of the Bourgeoisie,Comedy,South,22,9.74,214.36
502,136609,Cheapo Cheap DVD's Ltd,8/6/2012,"Simpson,Meryl",The Discreet Charm of the Bourgeoisie,Comedy,South,5,9.44,47.22
1074,136815,Cheapo Cheap DVD's Ltd,8/7/2012,"Manning,Marilyn",The Discreet Charm of the Bourgeoisie,Comedy,Middle,11,8.99,98.93
1913,137099,Cheapo Cheap DVD's Ltd,8/8/2012,"Silverstone,Gloria",The Discreet Charm of the Bourgeoisie,Comedy,Middle,6,8.7,52.17
496,136608,Cheapo Cheap DVD's Ltd,8/9/2012,"Carrey,Julia",The Discreet Charm of the Bourgeoisie,Comedy,North,20,9.44,188.87
840,136725,Addison-Freelander Screen Agency,8/10/2012,"Simpson,Meryl",The Discreet Charm of the Bourgeoisie,Comedy,South,15,8.84,132.66
537,136620,Addison-Freelander Screen Agency,8/11/2012,"Goodman,Paul",The Discreet Charm of the Bourgeoisie,Comedy,North,5,8.39,41.97
1072,136813,Silver Screen Video,8/12/2012,"Lee,Frank",A Hard Day's Night,Comedy,South,16,6.3,100.73
1047,136804,Silver Screen Video,8/13/2012,"Newhart,Anna",A Hard Day's Night,Comedy,Middle,25,7.13,178.37
794,136708,Silver Screen Video,8/14/2012,"Ashe,Lucille",A Hard Day's Night,Comedy,Middle,13,7.97,103.67
520,136616,Silver Screen Video,8/15/2012,"Jennings,John",A Hard Day's Night,Comedy,North,8,8.53,68.27
477,136601,Silver Screen Video,8/16/2012,"Carrey,Julia",A Hard Day's Night,Comedy,North,4,7.14,28.54
1348,136912,Classic Films,8/17/2012,"Simpson,Meryl",A Hard Day's Night,Comedy,South,13,6.86,89.12
906,136753,Classic Films,8/18/2012,"Silverstone,Gloria",A Hard Day's Night,Comedy,Middle,1,7.27,7.27
1808,137067,Classic Films,8/19/2012,"Jennings,John",A Hard Day's Night,Comedy,North,22,8.11,178.51
1018,136795,Box Office Supplies,8/20/2012,"Spears,Julie",A Hard Day's Night,Comedy,South,19,7.69,146.2
60,136459,Box Office Supplies,8/21/2012,"Simpson,Howard",A Hard Day's Night,Comedy,North,8,6.58,52.6
1273,136884,Soft Focus Video Rental,8/22/2012,"Ashe,Lucille",A Hard Day's Night,Comedy,Middle,12,8.11,97.37
1906,137096,Soft Focus Video Rental,8/23/2012,"Davis,Charles",A Hard Day's Night,Comedy,Middle,23,6.3,144.8
85,136468,Soft Focus Video Rental,8/24/2012,"Hawking,Alfred",A Hard Day's Night,Comedy,North,22,6.3,138.5
2030,137142,Lights-Camera-Action Ltd,8/25/2012,"Bell,Stephen",A Hard Day's Night,Comedy,South,9,6.72,60.44
1067,136811,Lights-Camera-Action Ltd,8/26/2012,"Simpson,Meryl",A Hard Day's Night,Comedy,South,6,7,41.97
